mth  paid  int       prin      outstanding 
1    4000  2393.38   1606.62   465393.38 
2    4000  2385.14   1614.86   463778.52 
3    4000  2376.86   1623.14   462155.38 
4    4000  2368.55   1631.45   460523.93 
5    4000  2360.19   1639.81   458884.11 
6    4000  2351.78   1648.22   457235.89 
7    4000  2343.33   1656.67   455579.23 
8    4000  2334.84   1665.16   453914.07 
9    4000  2326.31   1673.69   452240.38 
10   4000  2317.73   1682.27   450558.11 
11   4000  2309.11   1690.89   448867.22 
12   4000  2300.44   1699.56   447167.67 
13   4000  2291.73   1708.27   445459.40 
14   4000  2282.98   1717.02   443742.38 
15   4000  2274.18   1725.82   442016.56 
16   4000  2265.33   1734.67   440281.90 
17   4000  2256.44   1743.56   438538.34 
18   4000  2247.51   1752.49   436785.85 
19   4000  2238.53   1761.47   435024.38 
20   4000  2229.50   1770.50   433253.88 
21   4000  2220.43   1779.57   431474.30 
22   4000  2211.31   1788.69   429685.61 
23   4000  2202.14   1797.86   427887.75 
24   4000  2192.92   1807.08   426080.67 
25   4000  2183.66   1816.34   424264.34 
26   4000  2174.35   1825.65   422438.69 
27   4000  2165.00   1835.00   420603.69 
28   4000  2155.59   1844.41   418759.28 
29   4000  2146.14   1853.86   416905.42 
30   4000  2136.64   1863.36   415042.06 
31   3000  2127.09   872.91    414169.15 
32   3000  2122.62   877.38    413291.77 
33   3000  2118.12   881.88    412409.89 
34   3000  2113.60   886.40    411523.49 
35   3000  2109.06   890.94    410632.55 
36   3000  2104.49   895.51    409737.04 
37   3000  2099.90   900.10    408836.94 
38   3000  2095.29   904.71    407932.23 
39   3000  2090.65   909.35    407022.89 
40   3000  2085.99   914.01    406108.88 
41   3000  2081.31   918.69    405190.19 
42   3000  2076.60   923.40    404266.79 
43   3000  2071.87   928.13    403338.65 
44   3000  2067.11   932.89    402405.76 
45   3000  2062.33   937.67    401468.09 
46   3000  2057.52   942.48    400525.62 
47   3000  2052.69   947.31    399578.31 
48   3000  2047.84   952.16    398626.15 
49   3000  2042.96   957.04    397669.11 
50   3000  2038.05   961.95    396707.16 
51   3000  2033.12   966.88    395740.29 
52   3000  2028.17   971.83    394768.46 
53   3000  2023.19   976.81    393791.65 
54   3000  2018.18   981.82    392809.83 
55   3000  2013.15   986.85    391822.98 
56   3000  2008.09   991.91    390831.07 
57   3000  2003.01   996.99    389834.08 
58   3000  1997.90   1002.10   388831.98 
59   3000  1992.76   1007.24   387824.74 
60   3000  1987.60   1012.40   386812.35 
61   3000  1982.41   1017.59   385794.76 
62   3000  1977.20   1022.80   384771.96 
63   3000  1971.96   1028.04   383743.91 
64   3000  1966.69   1033.31   382710.60 
65   3000  1961.39   1038.61   381671.99 
66   3000  1956.07   1043.93   380628.06 
67   3000  1950.72   1049.28   379578.78 
68   3000  1945.34   1054.66   378524.12 
69   3000  1939.94   1060.06   377464.06 
70   3000  1934.50   1065.50   376398.56 
71   3000  1929.04   1070.96   375327.60 
72   3000  1923.55   1076.45   374251.16 
73   3000  1918.04   1081.96   373169.19 
74   3000  1912.49   1087.51   372081.69 
75   3000  1906.92   1093.08   370988.61 
76   3000  1901.32   1098.68   369889.92 
77   3000  1895.69   1104.31   368785.61 
78   3000  1890.03   1109.97   367675.63 
79   3000  1884.34   1115.66   366559.97 
80   3000  1878.62   1121.38   365438.59 
81   3000  1872.87   1127.13   364311.46 
82   3000  1867.10   1132.90   363178.56 
83   3000  1861.29   1138.71   362039.85 
84   3000  1855.45   1144.55   360895.31 
85   3000  1849.59   1150.41   359744.89 
86   3000  1843.69   1156.31   358588.59 
87   3000  1837.77   1162.23   357426.35 
88   3000  1831.81   1168.19   356258.16 
89   3000  1825.82   1174.18   355083.99 
90   3000  1819.81   1180.19   353903.79 
91   3000  1813.76   1186.24   352717.55 
92   3000  1807.68   1192.32   351525.23 
93   3000  1801.57   1198.43   350326.79 
94   3000  1795.42   1204.58   349122.22 
95   3000  1789.25   1210.75   347911.47 
96   3000  1783.05   1216.95   346694.51 
97   3000  1776.81   1223.19   345471.32 
98   3000  1770.54   1229.46   344241.86 
99   3000  1764.24   1235.76   343006.10 
100  3000  1757.91   1242.09   341764.01 
101  3000  1751.54   1248.46   340515.55 
102  3000  1745.14   1254.86   339260.69 
103  3000  1738.71   1261.29   337999.40 
104  3000  1732.25   1267.75   336731.65 
105  3000  1725.75   1274.25   335457.40 
106  3000  1719.22   1280.78   334176.62 
107  3000  1712.66   1287.34   332889.28 
108  3000  1706.06   1293.94   331595.33 
109  3000  1699.43   1300.57   330294.76 
110  3000  1692.76   1307.24   328987.52 
111  3000  1686.06   1313.94   327673.58 
112  3000  1679.33   1320.67   326352.91 
113  3000  1672.56   1327.44   325025.47 
114  3000  1665.76   1334.24   323691.22 
115  3000  1658.92   1341.08   322350.14 
116  3000  1652.04   1347.96   321002.18 
117  3000  1645.14   1354.86   319647.32 
118  3000  1638.19   1361.81   318285.51 
119  3000  1631.21   1368.79   316916.73 
120  3000  1624.20   1375.80   315540.92 
121  3000  1617.15   1382.85   314158.07 
122  3000  1610.06   1389.94   312768.13 
123  3000  1602.94   1397.06   311371.07 
124  3000  1595.78   1404.22   309966.84 
125  3000  1588.58   1411.42   308555.42 
126  3000  1581.35   1418.65   307136.77 
127  3000  1574.08   1425.92   305710.85 
128  3000  1566.77   1433.23   304277.62 
129  3000  1559.42   1440.58   302837.04 
130  3000  1552.04   1447.96   301389.08 
131  3000  1544.62   1455.38   299933.70 
132  3000  1537.16   1462.84   298470.86 
133  3000  1529.66   1470.34   297000.52 
134  3000  1522.13   1477.87   295522.65 
135  3000  1514.55   1485.45   294037.20 
136  3000  1506.94   1493.06   292544.14 
137  3000  1499.29   1500.71   291043.43 
138  3000  1491.60   1508.40   289535.03 
139  3000  1483.87   1516.13   288018.90 
140  3000  1476.10   1523.90   286494.99 
141  3000  1468.29   1531.71   284963.28 
142  3000  1460.44   1539.56   283423.72 
143  3000  1452.55   1547.45   281876.26 
144  3000  1444.62   1555.38   280320.88 
145  3000  1436.64   1563.36   278757.52 
146  3000  1428.63   1571.37   277186.16 
147  3000  1420.58   1579.42   275606.73 
148  3000  1412.48   1587.52   274019.22 
149  3000  1404.35   1595.65   272423.57 
150  3000  1396.17   1603.83   270819.74 
151  3000  1387.95   1612.05   269207.69 
152  3000  1379.69   1620.31   267587.38 
